SOURCE	TARGET	count
T_cell	T_cell	36
T_cell	Myeloid_cell	125
T_cell	Cancer_cellHRD	52
T_cell	B_cell	46
T_cell	Fibroblast	90
T_cell	Cancer_cellHR-proficient	66
T_cell	pDC	79
T_cell	Endothelial_cell	87
T_cell	Mast_cell	34
Myeloid_cell	T_cell	125
Myeloid_cell	Myeloid_cell	100
Myeloid_cell	Cancer_cellHRD	104
Myeloid_cell	B_cell	91
Myeloid_cell	Fibroblast	176
Myeloid_cell	Cancer_cellHR-proficient	107
Myeloid_cell	pDC	151
Myeloid_cell	Endothelial_cell	170
Myeloid_cell	Mast_cell	76
Cancer_cellHRD	T_cell	52
Cancer_cellHRD	Myeloid_cell	104
Cancer_cellHRD	Cancer_cellHRD	17
Cancer_cellHRD	B_cell	27
Cancer_cellHRD	Fibroblast	115
Cancer_cellHRD	Cancer_cellHR-proficient	44
Cancer_cellHRD	pDC	62
Cancer_cellHRD	Endothelial_cell	108
Cancer_cellHRD	Mast_cell	33
B_cell	T_cell	46
B_cell	Myeloid_cell	91
B_cell	Cancer_cellHRD	27
B_cell	B_cell	16
B_cell	Fibroblast	58
B_cell	Cancer_cellHR-proficient	33
B_cell	pDC	61
B_cell	Endothelial_cell	60
B_cell	Mast_cell	23
Fibroblast	T_cell	90
Fibroblast	Myeloid_cell	176
Fibroblast	Cancer_cellHRD	115
Fibroblast	B_cell	58
Fibroblast	Fibroblast	143
Fibroblast	Cancer_cellHR-proficient	112
Fibroblast	pDC	124
Fibroblast	Endothelial_cell	222
Fibroblast	Mast_cell	71
Cancer_cellHR-proficient	T_cell	66
Cancer_cellHR-proficient	Myeloid_cell	107
Cancer_cellHR-proficient	Cancer_cellHRD	44
Cancer_cellHR-proficient	B_cell	33
Cancer_cellHR-proficient	Fibroblast	112
Cancer_cellHR-proficient	Cancer_cellHR-proficient	27
Cancer_cellHR-proficient	pDC	62
Cancer_cellHR-proficient	Endothelial_cell	113
Cancer_cellHR-proficient	Mast_cell	36
pDC	T_cell	79
pDC	Myeloid_cell	151
pDC	Cancer_cellHRD	62
pDC	B_cell	61
pDC	Fibroblast	124
pDC	Cancer_cellHR-proficient	62
pDC	pDC	50
pDC	Endothelial_cell	103
pDC	Mast_cell	54
Endothelial_cell	T_cell	87
Endothelial_cell	Myeloid_cell	170
Endothelial_cell	Cancer_cellHRD	108
Endothelial_cell	B_cell	60
Endothelial_cell	Fibroblast	222
Endothelial_cell	Cancer_cellHR-proficient	113
Endothelial_cell	pDC	103
Endothelial_cell	Endothelial_cell	90
Endothelial_cell	Mast_cell	56
Mast_cell	T_cell	34
Mast_cell	Myeloid_cell	76
Mast_cell	Cancer_cellHRD	33
Mast_cell	B_cell	23
Mast_cell	Fibroblast	71
Mast_cell	Cancer_cellHR-proficient	36
Mast_cell	pDC	54
Mast_cell	Endothelial_cell	56
Mast_cell	Mast_cell	15
