gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	Cancer_cellHR-proficient	Cancer_cellHRD	Endothelial_cell	Fibroblast	Mast_cell	Myeloid_cell	T_cell	pDC
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.007	0.189	0.09	0.128	0.167	0.015	0.079	0.007	0.019
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.007	0.189	0.09	0.128	0.167	0.015	0.079	0.007	0.019
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.0	0.014	0.017	0.017	0.013	0.0	0.017	0.001	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.0	0.014	0.017	0.017	0.013	0.0	0.017	0.001	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.0	0.014	0.017	0.017	0.013	0.0	0.017	0.001	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.027	0.048	0.027	0.076	0.032	0.022	0.102	0.03	0.051
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.027	0.048	0.027	0.076	0.032	0.022	0.102	0.03	0.051
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.027	0.048	0.027	0.076	0.032	0.022	0.102	0.03	0.051
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.029	0.035	0.019	0.017	0.005	1.325	0.199	0.008	0.0
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.042	0.001	0.001	0.0	0.002	0.297	0.038	0.001	0.002
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.012	0.044	0.053	0.06	0.19	0.048	0.034	0.022	0.028
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.012	0.044	0.053	0.06	0.19	0.048	0.034	0.022	0.028
