id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B_cell|B_cell	B_cell|Cancer_cellHR-proficient	B_cell|Cancer_cellHRD	B_cell|Endothelial_cell	B_cell|Fibroblast	B_cell|Mast_cell	B_cell|Myeloid_cell	B_cell|T_cell	B_cell|pDC	Cancer_cellHR-proficient|B_cell	Cancer_cellHR-proficient|Cancer_cellHR-proficient	Cancer_cellHR-proficient|Cancer_cellHRD	Cancer_cellHR-proficient|Endothelial_cell	Cancer_cellHR-proficient|Fibroblast	Cancer_cellHR-proficient|Mast_cell	Cancer_cellHR-proficient|Myeloid_cell	Cancer_cellHR-proficient|T_cell	Cancer_cellHR-proficient|pDC	Cancer_cellHRD|B_cell	Cancer_cellHRD|Cancer_cellHR-proficient	Cancer_cellHRD|Cancer_cellHRD	Cancer_cellHRD|Endothelial_cell	Cancer_cellHRD|Fibroblast	Cancer_cellHRD|Mast_cell	Cancer_cellHRD|Myeloid_cell	Cancer_cellHRD|T_cell	Cancer_cellHRD|pDC	Endothelial_cell|B_cell	Endothelial_cell|Cancer_cellHR-proficient	Endothelial_cell|Cancer_cellHRD	Endothelial_cell|Endothelial_cell	Endothelial_cell|Fibroblast	Endothelial_cell|Mast_cell	Endothelial_cell|Myeloid_cell	Endothelial_cell|T_cell	Endothelial_cell|pDC	Fibroblast|B_cell	Fibroblast|Cancer_cellHR-proficient	Fibroblast|Cancer_cellHRD	Fibroblast|Endothelial_cell	Fibroblast|Fibroblast	Fibroblast|Mast_cell	Fibroblast|Myeloid_cell	Fibroblast|T_cell	Fibroblast|pDC	Mast_cell|B_cell	Mast_cell|Cancer_cellHR-proficient	Mast_cell|Cancer_cellHRD	Mast_cell|Endothelial_cell	Mast_cell|Fibroblast	Mast_cell|Mast_cell	Mast_cell|Myeloid_cell	Mast_cell|T_cell	Mast_cell|pDC	Myeloid_cell|B_cell	Myeloid_cell|Cancer_cellHR-proficient	Myeloid_cell|Cancer_cellHRD	Myeloid_cell|Endothelial_cell	Myeloid_cell|Fibroblast	Myeloid_cell|Mast_cell	Myeloid_cell|Myeloid_cell	Myeloid_cell|T_cell	Myeloid_cell|pDC	T_cell|B_cell	T_cell|Cancer_cellHR-proficient	T_cell|Cancer_cellHRD	T_cell|Endothelial_cell	T_cell|Fibroblast	T_cell|Mast_cell	T_cell|Myeloid_cell	T_cell|T_cell	T_cell|pDC	pDC|B_cell	pDC|Cancer_cellHR-proficient	pDC|Cancer_cellHRD	pDC|Endothelial_cell	pDC|Fibroblast	pDC|Mast_cell	pDC|Myeloid_cell	pDC|T_cell	pDC|pDC
CPI-SS05B4EB419	EFNA3_EPHA4	simple:P52797	simple:P54764	EFNA3	EPHA4	False	False	True	curated	False	0.012																						0.141																																																											
CPI-SC0681DB40E	COL5A1_integrin_a2b1_complex	simple:P20908	complex:integrin_a2b1_complex	COL5A1		True	False	False	curated	True	0.012																																								0.842																																									
CPI-SC0F94B7D8F	COL8A2_integrin_a2b1_complex	simple:P25067	complex:integrin_a2b1_complex	COL8A2		True	False	False	curated	True	0.012																																								0.28																																									
CPI-SC0D5418330	COL5A3_integrin_a2b1_complex	simple:P25940	complex:integrin_a2b1_complex	COL5A3		True	False	False	curated	True	0.012																																								0.265																																									
CPI-SS0CB4F2FE4	PDGFB_ADGRV1	simple:P01127	simple:Q8WXG9	PDGFB	ADGRV1	True	False	True	InnateDB-All	False	0.012																													0.212																																																				
CPI-SS023ABAE18	XCL1_ADGRV1	simple:P47992	simple:Q8WXG9	XCL1	ADGRV1	True	False	True	InnateDB-All	False	0.012																																																																	0.187																
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	0.012																																0.797																																																	
CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	PDGFB	PDGFRA	True	False	True	curated	False	0.012																																0.421																																																	
CPI-SS0DA0F5556	CDH3_CDH3	simple:P22223	simple:P22223	CDH3	CDH3	False	False	False	curated	False	0.012																					0.227																																																												
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	0.012																																									0.319																																								
CPI-SC00DF4C861	PDGFB_PDGFR_complex	simple:P01127	complex:PDGFR_complex	PDGFB		True	False	True	curated	False	0.012																																0.421																																																	
CPI-SS0B9E8C0DE	EPHB2_EFNB2	simple:P29323	simple:P52799	EPHB2	EFNB2	False	True	True	curated	False	0.012																																																										0.262																							
CPI-SS02CCE14A7	ADCYAP1_VIPR2	simple:P18509	simple:P41587	ADCYAP1	VIPR2	True	False	True	curated	False	0.012																																																						0.266																											
CPI-SS069C5BDB5	ESR1_TFF1	simple:P03372	simple:P04155	ESR1	TFF1	True	True	False	InnateDB-All	False	0.012											0.715																																																																						
CPI-SC0C287AFC3	COL4A5_integrin_a2b1_complex	simple:P29400	complex:integrin_a2b1_complex	COL4A5		True	False	False	curated	True	0.012													0.143																																																																				
CPI-SS09AFCF898	CCR2_CCL8	simple:P41597	simple:P80075	CCR2	CCL8	True	True	False	curated	False	0.012																																																																															0.341		
CPI-SC0B5F57CE1	TNC_integrin_a9b1_complex	simple:P24821	complex:integrin_a9b1_complex	TNC		True	False	False	curated	True	0.012																																								0.229																																									
CPI-SC0C1E494D6	COL21A1_integrin_a11b1_complex	simple:Q96P44	complex:integrin_a11b1_complex	COL21A1		True	False	False	curated	True	0.012																																0.361																																																	
CPI-SC069FF84F5	SPP1_integrin_a9b1_complex	simple:P10451	complex:integrin_a9b1_complex	SPP1		True	False	False	curated	True	0.012																																																										0.753																							
CPI-SS0F8C2FA91	CCR1_CCL8	simple:P32246	simple:P80075	CCR1	CCL8	True	True	False	curated	False	0.012																																																													0.289																				
CPI-SC08885876E	COL26A1_integrin_a11b1_complex	simple:Q96A83	complex:integrin_a11b1_complex	COL26A1		True	False	False	curated	True	0.012																																																																													0.47				
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	0.012											0.145																																																																						
CPI-SC0B09B811A	COL24A1_integrin_a11b1_complex	simple:Q17RW2	complex:integrin_a11b1_complex	COL24A1		True	False	False	curated	True	0.012																																																																													0.397				
CPI-SC086D7EC73	COL9A3_integrin_a11b1_complex	simple:Q14050	complex:integrin_a11b1_complex	COL9A3		True	False	False	curated	True	0.012																							0.412																																																										
CPI-SC05640277E	COL7A1_integrin_a2b1_complex	simple:Q02388	complex:integrin_a2b1_complex	COL7A1		True	False	False	curated	True	0.012																																								0.14																																									
CPI-SC092A2325E	COL14A1_integrin_a11b1_complex	simple:Q05707	complex:integrin_a11b1_complex	COL14A1		True	False	False	curated	True	0.012																																									0.72																																								
CPI-SS0BFD8E056	EFNB2_EPHB1	simple:P52799	simple:P54762	EFNB2	EPHB1	False	True	True	curated	False	0.012																																				0.456																																													
CPI-SC0519DE925	COL10A1_integrin_a11b1_complex	simple:Q03692	complex:integrin_a11b1_complex	COL10A1		True	False	False	curated	True	0.012																																									0.805																																								
CPI-SC084C79E20	COL6A3_integrin_a2b1_complex	simple:P12111	complex:integrin_a2b1_complex	COL6A3		True	False	False	curated	True	0.012																																								1.288																																									
CPI-CS03C03A2E0	FZD7_LRP6_WNT2	complex:FZD7_LRP6	simple:P09544		WNT2	True	False	False	curated	False	0.012																																									0.17																																								
CPI-CS07B61574B	LIFR_LIF	complex:LIFR	simple:P15018		LIF	True	True	False	curated	False	0.012																																	0.44																																																
