SOURCE	TARGET	count
DC	DC	94
DC	T_cell	119
DC	CancerHRD	49
DC	Myeloid	232
DC	Fibroblast	189
DC	EC	166
DC	B_cell	89
DC	CancerHR-proficient	68
DC	Mast	90
T_cell	DC	119
T_cell	T_cell	34
T_cell	CancerHRD	37
T_cell	Myeloid	149
T_cell	Fibroblast	99
T_cell	EC	87
T_cell	B_cell	58
T_cell	CancerHR-proficient	41
T_cell	Mast	41
CancerHRD	DC	49
CancerHRD	T_cell	37
CancerHRD	CancerHRD	4
CancerHRD	Myeloid	73
CancerHRD	Fibroblast	54
CancerHRD	EC	58
CancerHRD	B_cell	16
CancerHRD	CancerHR-proficient	10
CancerHRD	Mast	25
Myeloid	DC	232
Myeloid	T_cell	149
Myeloid	CancerHRD	73
Myeloid	Myeloid	136
Myeloid	Fibroblast	221
Myeloid	EC	190
Myeloid	B_cell	120
Myeloid	CancerHR-proficient	100
Myeloid	Mast	104
Fibroblast	DC	189
Fibroblast	T_cell	99
Fibroblast	CancerHRD	54
Fibroblast	Myeloid	221
Fibroblast	Fibroblast	160
Fibroblast	EC	234
Fibroblast	B_cell	81
Fibroblast	CancerHR-proficient	85
Fibroblast	Mast	92
EC	DC	166
EC	T_cell	87
EC	CancerHRD	58
EC	Myeloid	190
EC	Fibroblast	234
EC	EC	85
EC	B_cell	63
EC	CancerHR-proficient	81
EC	Mast	64
B_cell	DC	89
B_cell	T_cell	58
B_cell	CancerHRD	16
B_cell	Myeloid	120
B_cell	Fibroblast	81
B_cell	EC	63
B_cell	B_cell	24
B_cell	CancerHR-proficient	20
B_cell	Mast	40
CancerHR-proficient	DC	68
CancerHR-proficient	T_cell	41
CancerHR-proficient	CancerHRD	10
CancerHR-proficient	Myeloid	100
CancerHR-proficient	Fibroblast	85
CancerHR-proficient	EC	81
CancerHR-proficient	B_cell	20
CancerHR-proficient	CancerHR-proficient	13
CancerHR-proficient	Mast	31
Mast	DC	90
Mast	T_cell	41
Mast	CancerHRD	25
Mast	Myeloid	104
Mast	Fibroblast	92
Mast	EC	64
Mast	B_cell	40
Mast	CancerHR-proficient	31
Mast	Mast	21
