id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B_cell|B_cell	B_cell|CancerHR-proficient	B_cell|CancerHRD	B_cell|DC	B_cell|EC	B_cell|Fibroblast	B_cell|Mast	B_cell|Myeloid	B_cell|T_cell	CancerHR-proficient|B_cell	CancerHR-proficient|CancerHR-proficient	CancerHR-proficient|CancerHRD	CancerHR-proficient|DC	CancerHR-proficient|EC	CancerHR-proficient|Fibroblast	CancerHR-proficient|Mast	CancerHR-proficient|Myeloid	CancerHR-proficient|T_cell	CancerHRD|B_cell	CancerHRD|CancerHR-proficient	CancerHRD|CancerHRD	CancerHRD|DC	CancerHRD|EC	CancerHRD|Fibroblast	CancerHRD|Mast	CancerHRD|Myeloid	CancerHRD|T_cell	DC|B_cell	DC|CancerHR-proficient	DC|CancerHRD	DC|DC	DC|EC	DC|Fibroblast	DC|Mast	DC|Myeloid	DC|T_cell	EC|B_cell	EC|CancerHR-proficient	EC|CancerHRD	EC|DC	EC|EC	EC|Fibroblast	EC|Mast	EC|Myeloid	EC|T_cell	Fibroblast|B_cell	Fibroblast|CancerHR-proficient	Fibroblast|CancerHRD	Fibroblast|DC	Fibroblast|EC	Fibroblast|Fibroblast	Fibroblast|Mast	Fibroblast|Myeloid	Fibroblast|T_cell	Mast|B_cell	Mast|CancerHR-proficient	Mast|CancerHRD	Mast|DC	Mast|EC	Mast|Fibroblast	Mast|Mast	Mast|Myeloid	Mast|T_cell	Myeloid|B_cell	Myeloid|CancerHR-proficient	Myeloid|CancerHRD	Myeloid|DC	Myeloid|EC	Myeloid|Fibroblast	Myeloid|Mast	Myeloid|Myeloid	Myeloid|T_cell	T_cell|B_cell	T_cell|CancerHR-proficient	T_cell|CancerHRD	T_cell|DC	T_cell|EC	T_cell|Fibroblast	T_cell|Mast	T_cell|Myeloid	T_cell|T_cell
CPI-CS0A5B6BD7A	12oxoLeukotrieneB4_byPTGR1_LTB4R	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q15722		LTB4R	True	False	True	curated	False	0.005	0.016	0.014	0.028	0.022	0.013	0.009	0.037	0.013	0.08	0.091	0.088	0.102	0.097	0.087	0.084	0.112	0.088	0.039	0.051	0.048	0.062	0.056	0.047	0.043	0.071	0.047	0.018	0.029	0.026	0.04	0.035	0.025	0.022	0.05	0.026	0.064	0.076	0.073	0.087	0.081	0.072	0.068	0.097	0.072	0.09	0.101	0.099	0.113	0.107	0.098	0.094	0.122	0.098	0.017	0.028	0.025	0.039	0.034	0.024	0.021	0.049	0.025	0.044	0.055	0.052	0.066	0.061	0.051	0.048	0.076	0.052	0.006	0.018	0.015	0.029	0.024	0.014	0.01	0.039	0.015
CPI-CS047D9C0D7	LeukotrieneB4_byLTA4H_LTB4R	complex:LeukotrieneB4_byLTA4H	simple:Q15722		LTB4R	True	False	True	curated	False	0.122	0.133	0.131	0.144	0.139	0.129	0.126	0.154	0.13	0.123	0.135	0.132	0.146	0.14	0.131	0.127	0.155	0.131	0.058	0.069	0.066	0.08	0.075	0.065	0.062	0.09	0.066	0.251	0.263	0.26	0.274	0.268	0.259	0.255	0.284	0.259	0.154	0.165	0.163	0.176	0.171	0.162	0.158	0.186	0.162	0.081	0.093	0.09	0.104	0.098	0.089	0.085	0.114	0.089	0.034	0.045	0.043	0.056	0.051	0.041	0.038	0.066	0.042	0.269	0.28	0.277	0.291	0.286	0.276	0.273	0.301	0.277	0.084	0.095	0.092	0.106	0.101	0.091	0.088	0.116	0.092
CPI-CS04A56D5BE	12oxoLeukotrieneB4_byPTGR1_LTB4R2	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q9NPC1		LTB4R2	True	False	True	curated	False	0.007	0.013	0.007	0.014	0.015	0.007	0.014	0.011	0.026	0.082	0.087	0.082	0.089	0.089	0.082	0.088	0.086	0.101	0.042	0.047	0.041	0.048	0.049	0.042	0.048	0.045	0.061	0.02	0.025	0.02	0.027	0.027	0.02	0.026	0.024	0.039	0.067	0.072	0.066	0.073	0.074	0.067	0.073	0.071	0.086	0.092	0.098	0.092	0.099	0.1	0.092	0.099	0.096	0.111	0.019	0.024	0.019	0.026	0.026	0.019	0.025	0.023	0.038	0.046	0.051	0.046	0.053	0.054	0.046	0.053	0.05	0.065	0.009	0.014	0.009	0.016	0.016	0.009	0.015	0.013	0.028
CPI-CS0F5B070C5	LeukotrieneB4_byLTA4H_LTB4R2	complex:LeukotrieneB4_byLTA4H	simple:Q9NPC1		LTB4R2	True	False	True	curated	False	0.124	0.129	0.124	0.131	0.132	0.124	0.131	0.128	0.143	0.126	0.131	0.125	0.132	0.133	0.126	0.132	0.129	0.145	0.06	0.065	0.06	0.067	0.067	0.06	0.066	0.064	0.079	0.254	0.259	0.253	0.26	0.261	0.254	0.26	0.258	0.273	0.156	0.162	0.156	0.163	0.164	0.156	0.163	0.16	0.175	0.084	0.089	0.083	0.09	0.091	0.084	0.09	0.088	0.103	0.036	0.041	0.036	0.043	0.044	0.036	0.043	0.04	0.055	0.271	0.276	0.271	0.278	0.279	0.271	0.278	0.275	0.29	0.086	0.091	0.086	0.093	0.094	0.086	0.093	0.09	0.105
CPI-CS0AFE4D0CB	LeukotrieneB4_byLTA4H_GPR17	complex:LeukotrieneB4_byLTA4H	simple:Q13304		GPR17	True	False	True	curated	False	0.0	0.0	0.119	0.0	0.119	0.119	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.121	0.121	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.055	0.055	0.0	0.0	0.0	0.0	0.0	0.249	0.0	0.249	0.249	0.0	0.0	0.0	0.0	0.0	0.151	0.0	0.152	0.152	0.0	0.0	0.0	0.0	0.0	0.079	0.0	0.079	0.079	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.031	0.031	0.0	0.0	0.0	0.0	0.0	0.266	0.0	0.266	0.266	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.081	0.081	0.0	0.0	0.0
CPI-CS00DCACEEE	LeukotrieneC4_byLTC4S_GPR17	complex:LeukotrieneC4_byLTC4S	simple:Q13304		GPR17	True	False	True	curated	False	0.0	0.0	0.019	0.0	0.019	0.019	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.028	0.028	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.013	0.013	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.054	0.054	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.003	0.0	0.0	0.0	0.0	0.0	0.809	0.0	0.809	0.809	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.114	0.114	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.005	0.0	0.0	0.0
CPI-CS0957C3253	LeukotrieneD4_byGGT1_GPR17	complex:LeukotrieneD4_byGGT1	simple:Q13304		GPR17	True	False	True	curated	False	0.0	0.0	0.002	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.025	0.025	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.006	0.006	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.007	0.007	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.015	0.015	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.003	0.0	0.0	0.0
CPI-CS01FC3CF4D	LeukotrieneC4_byLTC4S_CYSLTR2	complex:LeukotrieneC4_byLTC4S	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	0.019	0.019	0.019	0.035	0.019	0.024	0.0	0.04	0.021	0.028	0.028	0.028	0.044	0.028	0.033	0.0	0.049	0.031	0.013	0.014	0.013	0.03	0.013	0.018	0.0	0.034	0.016	0.054	0.054	0.054	0.07	0.054	0.059	0.0	0.075	0.057	0.01	0.01	0.01	0.026	0.01	0.015	0.0	0.031	0.013	0.003	0.003	0.003	0.019	0.003	0.008	0.0	0.024	0.006	0.809	0.809	0.809	0.825	0.809	0.814	0.0	0.83	0.812	0.114	0.115	0.114	0.131	0.114	0.119	0.0	0.135	0.117	0.005	0.006	0.005	0.022	0.005	0.01	0.0	0.026	0.008
CPI-CS0A0F970F5	LeukotrieneD4_byGGT1_CYSLTR2	complex:LeukotrieneD4_byGGT1	simple:Q9NS75		CYSLTR2	True	False	True	curated	False	0.002	0.003	0.002	0.019	0.003	0.007	0.0	0.023	0.005	0.02	0.02	0.02	0.036	0.02	0.025	0.0	0.04	0.022	0.025	0.025	0.025	0.041	0.025	0.03	0.0	0.046	0.028	0.006	0.007	0.006	0.023	0.006	0.011	0.0	0.027	0.009	0.004	0.005	0.004	0.021	0.004	0.009	0.0	0.025	0.007	0.007	0.007	0.007	0.024	0.007	0.012	0.0	0.028	0.01	0.015	0.015	0.014	0.031	0.015	0.02	0.0	0.035	0.017	0.008	0.009	0.008	0.025	0.008	0.013	0.0	0.029	0.011	0.003	0.003	0.003	0.019	0.003	0.008	0.0	0.024	0.005
CPI-CS0891F5216	LeukotrieneC4_byLTC4S_CYSLTR1	complex:LeukotrieneC4_byLTC4S	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	0.119	0.027	0.023	0.168	0.106	0.02	0.123	0.075	0.068	0.128	0.036	0.032	0.177	0.115	0.029	0.132	0.084	0.077	0.114	0.022	0.018	0.162	0.1	0.015	0.118	0.07	0.063	0.154	0.062	0.059	0.203	0.141	0.056	0.159	0.11	0.104	0.11	0.018	0.014	0.159	0.097	0.011	0.115	0.066	0.06	0.103	0.011	0.008	0.152	0.09	0.005	0.108	0.059	0.053	0.909	0.817	0.814	0.958	0.896	0.811	0.914	0.865	0.859	0.214	0.123	0.119	0.263	0.201	0.116	0.219	0.171	0.164	0.105	0.014	0.01	0.154	0.092	0.007	0.11	0.062	0.055
