sample	HRD	HR_proficient	HRD_score_bulk
BC01_Pooled	BC01	-0.0128490807508282	0.0128490807508281	-0.0256981615016563
BC02_Pooled	BC02	-0.0202314524945994	0.0202314524945989	-0.0404629049891983
BC03_Pooled	BC03	0.0657311475288769	-0.0657311475288764	0.131462295057753
BC03LN_Pooled	BC03LN	0.134921020282097	-0.134921020282097	0.269842040564194
BC04_Pooled	BC04	0.127322880753634	-0.127322880753635	0.254645761507269
BC05_Pooled	BC05	-0.0150639718194317	0.0150639718194321	-0.0301279436388638
BC06_Pooled	BC06	0.148715185094505	-0.148715185094505	0.297430370189009
BC07LN_Pooled	BC07LN	0.125700056385941	-0.125700056385941	0.251400112771882
BC08_Pooled	BC08	0.0990684783520281	-0.0990684783520282	0.198136956704056
BC09_Pooled	BC09	0.234323996588676	-0.234323996588676	0.468647993177352
BC10_Pooled	BC10	0.118405339489753	-0.118405339489753	0.236810678979506
BC11_Pooled	BC11	0.331333369970128	-0.331333369970128	0.662666739940256
