cell	HRD	HR_proficient	HRD_score_sc	sample
BC01_02	BC01_02	0.0199268324178693	-0.0199268324178691	0.0398536648357384	BC01
BC01_03	BC01_03	0.0742421602647877	-0.0742421602647873	0.148484320529575	BC01
BC01_04	BC01_04	0.0605809019878163	-0.060580901987816	0.121161803975632	BC01
BC01_05	BC01_05	0.0431967684330324	-0.0431967684330329	0.0863935368660653	BC01
BC01_06	BC01_06	-0.0464865515471429	0.0464865515471425	-0.0929731030942853	BC01
BC01_08	BC01_08	-0.0383181276712876	0.0383181276712877	-0.0766362553425752	BC01
BC01_10	BC01_10	-0.0593323664791973	0.0593323664791971	-0.118664732958394	BC01
BC01_12	BC01_12	-0.0307256481823127	0.0307256481823125	-0.0614512963646251	BC01
BC01_33	BC01_33	0.0457175365202642	-0.0457175365202645	0.0914350730405286	BC01
BC01_34	BC01_34	0.0339072158387827	-0.0339072158387831	0.0678144316775658	BC01
BC01_53	BC01_53	-0.0159359583463982	0.015935958346398	-0.0318719166927963	BC01
BC01_55	BC01_55	0.126600474330958	-0.126600474330959	0.253200948661918	BC01
BC01_57	BC01_57	-0.0380484782249838	0.0380484782249839	-0.0760969564499677	BC01
BC01_66	BC01_66	0.063721879694805	-0.0637218796948054	0.12744375938961	BC01
BC01_69	BC01_69	0.0754316872763141	-0.0754316872763143	0.150863374552628	BC01
BC01_70	BC01_70	0.088426138002935	-0.0884261380029349	0.17685227600587	BC01
BC01_72	BC01_72	0.0282122382878265	-0.0282122382878261	0.0564244765756526	BC01
BC01_77	BC01_77	-0.0353717072928575	0.0353717072928571	-0.0707434145857146	BC01
BC01_87	BC01_87	0.0363695847729861	-0.036369584772986	0.0727391695459721	BC01
BC01_95	BC01_95	-0.00266042755750721	0.00266042755750683	-0.00532085511501404	BC01
BC04_01	BC04_01	0.118207167112215	-0.118207167112215	0.236414334224429	BC04
BC04_02	BC04_02	0.120579273901404	-0.120579273901404	0.241158547802808	BC04
BC04_07	BC04_07	0.0691712615343	-0.0691712615342999	0.1383425230686	BC04
BC04_09	BC04_09	0.0680215720375116	-0.0680215720375124	0.136043144075024	BC04
BC04_11	BC04_11	0.0201006710985322	-0.0201006710985322	0.0402013421970645	BC04
BC04_13	BC04_13	0.0719815135412771	-0.0719815135412773	0.143963027082554	BC04
BC04_14	BC04_14	0.0185015309785738	-0.0185015309785738	0.0370030619571477	BC04
BC04_16	BC04_16	0.0806638426942831	-0.0806638426942822	0.161327685388565	BC04
BC04_20	BC04_20	0.0890030019970118	-0.0890030019970123	0.178006003994024	BC04
BC04_22	BC04_22	0.00993150494532843	-0.00993150494532804	0.0198630098906565	BC04
BC04_23	BC04_23	-0.012190725604478	0.0121907256044774	-0.0243814512089554	BC04
BC04_24	BC04_24	0.115401512295639	-0.11540151229564	0.230803024591279	BC04
BC04_27	BC04_27	0.0347609435330963	-0.0347609435330969	0.0695218870661932	BC04
BC04_28	BC04_28	-0.0208425704652234	0.0208425704652241	-0.0416851409304475	BC04
BC04_29	BC04_29	0.043337760817775	-0.0433377608177754	0.0866755216355504	BC04
BC04_30	BC04_30	-0.010338774951617	0.0103387749516172	-0.0206775499032342	BC04
BC04_31	BC04_31	0.0881384951607312	-0.0881384951607315	0.176276990321463	BC04
BC04_32	BC04_32	0.0445982099646634	-0.0445982099646628	0.0891964199293262	BC04
BC04_33	BC04_33	0.063247502327573	-0.0632475023275739	0.126495004655147	BC04
BC04_36	BC04_36	0.0646941791601583	-0.0646941791601579	0.129388358320316	BC04
BC04_37	BC04_37	-0.0331551062510907	0.0331551062510902	-0.0663102125021809	BC04
BC04_39	BC04_39	0.18909616115598	-0.18909616115598	0.37819232231196	BC04
BC04_40	BC04_40	0.150201229929822	-0.150201229929823	0.300402459859645	BC04
BC04_41	BC04_41	0.13191220977182	-0.13191220977182	0.26382441954364	BC04
BC04_45	BC04_45	0.123079144352556	-0.123079144352556	0.246158288705112	BC04
BC04_49	BC04_49	0.0430385583495053	-0.0430385583495058	0.0860771166990112	BC04
BC04_53	BC04_53	0.0290072498460865	-0.0290072498460869	0.0580144996921734	BC04
BC04_54	BC04_54	0.0268204875541093	-0.0268204875541091	0.0536409751082185	BC04
BC04_56	BC04_56	0.0469012257536182	-0.0469012257536178	0.093802451507236	BC04
BC04_58	BC04_58	0.0463792579462456	-0.0463792579462461	0.0927585158924918	BC04
BC04_59	BC04_59	0.0877089522522883	-0.0877089522522885	0.175417904504577	BC04
BC04_60	BC04_60	0.0386604864210326	-0.0386604864210326	0.0773209728420652	BC04
BC04_61	BC04_61	-0.0126669900735529	0.0126669900735529	-0.0253339801471059	BC04
BC04_63	BC04_63	0.105978843926042	-0.105978843926043	0.211957687852085	BC04
BC04_64	BC04_64	-0.00781927435355901	0.00781927435355807	-0.0156385487071171	BC04
BC04_69	BC04_69	0.105345681676964	-0.105345681676964	0.210691363353928	BC04
BC04_71	BC04_71	0.0559830593510378	-0.0559830593510383	0.111966118702076	BC04
BC04_77	BC04_77	0.0970274687327025	-0.0970274687327021	0.194054937465405	BC04
BC04_78	BC04_78	0.0239509532106405	-0.0239509532106411	0.0479019064212816	BC04
BC04_82	BC04_82	0.0850922669886595	-0.0850922669886602	0.17018453397732	BC04
BC04_85	BC04_85	0.133447411640123	-0.133447411640123	0.266894823280245	BC04
