SBS1	SBS2	SBS3	SBS5	SBS13	SBS18	SBS30	SBS34	SBS41
TCGA-D8-A1XY-01A-11D-A14K-09	0.166051216642746	0.117414328170255	0	0.507866800180849	0	0.099225033700202	0	0	0.109442621305948
TCGA-AO-A0J5-01A-11W-A050-09	0.0552137089071796	0.0398321418712159	0.125289753122022	0.595771099334151	0	0.0918999441798167	0.0485080473070769	0	0.0434853052785377
TCGA-A8-A093-01A-11W-A019-09	0	0.459532370167436	0	0.322892282099647	0.162563056296803	0.0550122914361144	0	0	0
TCGA-C8-A133-01A-32D-A12B-09	0	0	0	0.482164574556137	0	0.20681705256816	0.200415610062039	0	0.110602762813664
TCGA-AQ-A54O-01A-11D-A25Q-09	0.04677972934178	0	0	0.650955197720179	0	0.0859167861568091	0.216348286781232	0	0
TCGA-A8-A07G-01A-11W-A050-09	0.0344127839465879	0.077917033018369	0.394740363328727	0.35104050106919	0	0.0795735250385019	0.0623157935986242	0	0
TCGA-LD-A74U-01A-13D-A33E-09	0	0.514182142449312	0	0.079748577500924	0.344774251892396	0	0.0612950281573676	0	0
TCGA-OL-A5RV-01A-12D-A28B-09	0.272154845705215	0	0.444276989831527	0.17943900686208	0	0	0.104129157601179	0	0
TCGA-AR-A24V-01A-21D-A167-09	0.104438440703136	0.0808970769755334	0	0.598097684684351	0.128849027420562	0.0877177702164176	0	0	0
TCGA-PL-A8LX-01A-11D-A41F-09	0.110659201620594	0	0.136428569321268	0.692156328311912	0	0	0.0184485438198593	0	0.0423073569263669
TCGA-BH-A0W5-01A-11D-A10G-09	0.0936476634189516	0	0	0.906352336581049	0	0	0	0	0
TCGA-BH-A18F-01A-11D-A12B-09	0.119380421276523	0.345918130206785	0	0.367505787772579	0.0533249003973979	0.0921526461771219	0.0217181141695928	0	0
TCGA-HN-A2OB-01A-21D-A27P-09	0.170700421480481	0.136291179601475	0.503230499329238	0	0	0.189777899588806	0	0	0
TCGA-BH-A2L8-01A-11D-A18P-09	0	0.506975493820853	0	0	0.483107794277105	0	0.0099167119020411	0	0
TCGA-EW-A423-01A-11D-A243-09	0.0926940998537623	0.0894023091786482	0	0.404221256303793	0	0	0.210926113111306	0	0.202756221552491
TCGA-E9-A1RD-01A-11D-A159-09	0.0753304967160815	0.263488600862364	0.511724221913669	2.62508072943387e-08	0	0.0713545822169997	0.0781020720400784	0	0
TCGA-A8-A083-01A-21W-A019-09	0	0.0466073310800424	0	0.949582251306432	0	0.00381041761352512	0	0	0
TCGA-EW-A6SC-01A-12D-A32I-09	0.0768251502947749	0.201703252184222	0	0.62653452638732	0	0	0.0949370711336826	0	0
TCGA-C8-A1HJ-01A-11D-A13L-09	0	0	0.70229841248826	0.169578336061174	0.0491379429624843	0.0789853084880824	0	0	0
TCGA-D8-A1XK-01A-21D-A14K-09	0	0	0	0.94364981271538	0	0	0	0	0.0563501872846199
TCGA-AO-A0JF-01A-11W-A071-09	0	0.0924316899603764	0.365704051692345	0.427559996882474	0	0.0610346358392175	0.0532696256255864	0	0
TCGA-AN-A0FS-01A-11W-A050-09	0.0388668030877376	0.151125234803454	0	0.224416311369847	0.122629453144224	0.20127150688614	0.135927162503714	0	0.125763528204884
TCGA-AO-A03L-01A-41W-A071-09	0	0	0	0.474741842685133	0	0.243913082509579	0.105646612351665	0	0.175698462453622
TCGA-AN-A049-01A-21W-A019-09	0.0820392525394103	0.0521304078323633	0.313522938542191	0.408865374901104	0	0.0481183218713066	0.046334221943829	0	0.0489894823697967
TCGA-AO-A03R-01A-21W-A050-09	0	0	0.162626794649687	0.259333525242623	0	0.134967060535749	0.301740159468434	0	0.141332460103507
TCGA-A8-A09N-01A-11W-A019-09	0.0285005790563188	0.137088012799846	0	0.534962900918797	0.175090613104782	0	0	0	0.124357894120256
TCGA-A2-A25F-01A-11D-A167-09	0	0	0.640104075963498	0.0641805168552489	0	0.295715407181253	0	0	0
TCGA-E2-A10C-01A-21D-A10M-09	0	0.529404252826996	0	0.0264154027471323	0.440999305086493	0	0	0	0.00318103933937849
TCGA-E2-A1LK-01A-21D-A14G-09	0.251255434062673	0	0	0.338985227583165	0.0819192830898431	0	0	0	0.327840055264319
TCGA-E2-A15E-01A-11D-A12B-09	0.131586943027212	0	0	0.624707421965887	0.149546411681343	0.0941592233255577	0	0	0
TCGA-GM-A2DB-01A-31D-A19Y-09	0.0615963862051679	0.0337087530543863	0.336374674545721	0.228581262167099	0.0329978050730754	0.174173396150052	0	0.0741251579125468	0.0584425648919523
TCGA-A1-A0SD-01A-11D-A10Y-09	0.137842095148395	0.0121496536345397	0	0.850008251217066	0	0	0	0	0
TCGA-A2-A0CP-01A-11W-A050-09	0	0	0.551137801427087	0.293065743308414	0	0.0653022073915978	0.030070852062725	0.060423395810177	0
TCGA-A7-A0CE-01A-11W-A019-09	0	0.0371576167853963	0.657540196919335	0.221068014031104	0.0514210966585111	0.0187053254736039	0.0141077501320494	0	0
TCGA-BH-A1ES-01A-11D-A135-09	0	0	0.664757665677401	0.0933438421290415	0	0.241898492193557	0	0	0
TCGA-C8-A12W-01A-11D-A10Y-09	0.249639680578157	0.0241157213589372	0.406412736509259	0.265835153353064	0	0.0342133042353959	0.0197834039651871	0	0
TCGA-LL-A5YO-01A-21D-A28B-09	0	0.0534342345170713	0.328413294057604	0.287778008584034	0.202401412783522	0.0435424623330689	0	0.0844305877247	0
TCGA-GM-A3NW-01A-21D-A228-09	0.0695591636452015	0.338368620603955	0.097826978104905	0.071309297676687	0.281539486160683	0.0242097054192675	0.0941828756562593	0	0.0230038727330416
TCGA-E2-A15I-01A-21D-A135-09	0.117447055324219	0.124230998806173	0	0.117249243236533	0	0.408090592828479	0.0810735655302642	0	0.151908544274332
TCGA-AN-A0FN-01A-11W-A050-09	0	0	0.357284941697983	0.42608840318839	0	0.056090480962882	0.0931295460549172	0	0.0674066280958281
TCGA-BH-A0BW-01A-11D-A10Y-09	0.0477244070206662	0.0589648830691789	0.360694517896861	0.399214887584102	0.0516540080974183	0	0.0207794650639755	0	0.060967831267798
TCGA-BH-A0E1-01A-11W-A071-09	0.106816804499191	0.171431755428739	0.0518746840078863	0.272025898580671	0.238480999025478	0	0	0	0.159369858458035
TCGA-D8-A27W-01A-11D-A16D-09	0.239276612982212	0	0.140253646612811	0.259393703848079	0	0.0915307162288375	0.218132866117687	0	0.0514124542103729
TCGA-BH-A0HN-01A-11D-A099-09	0.170423663414406	0.104873375987587	0	0.654518755619134	0	0	0	0	0.0701842049788733
TCGA-E2-A1AZ-01A-11D-A12Q-09	0	0.15470521512194	0.550767455717004	0	0.294527329161055	0	0	0	0
TCGA-D8-A1XC-01A-11D-A14G-09	0	0	0	0.799004231691648	0	0.0485052204518918	0.0426746348530874	0	0.109815913003373
TCGA-BH-A0BR-01A-21W-A12T-09	0.0758042035579226	0.30731960117917	0	0.425671278359952	0.0652891694574018	0	0	0	0.125915747445554
TCGA-A2-A0EU-01A-22W-A071-09	0.201224737706454	0.0728976740643308	0	0.449710336860652	0	0	0	0	0.276167251368563
TCGA-B6-A0X0-01A-21D-A10Y-09	0	0	0.0455544248983078	0.708954682075935	0	0.245490893025757	0	0	0
TCGA-E9-A1R0-01A-22D-A16D-09	0.10511436066238	0.159918415725533	0	0.435301686847713	0.160365306337807	0	0.112718785152563	0	0.0265814452740029
TCGA-A2-A0YH-01A-11D-A10G-09	0.0686499602258603	0.185320192903097	0.0167341485174568	0.288976362059467	0.333386712569493	0.069580937487466	0.0373516862371595	0	0
TCGA-AR-A2LQ-01A-22D-A18P-09	0.0803853102922807	0	0	0.880352289329113	0	0	0	0	0.0392624003786066
TCGA-E9-A6HE-01A-11D-A31U-09	0.187357634416275	0	0	0.743642027325971	0	0	0.0690003382577535	0	0
TCGA-E2-A15R-01A-11D-A10Y-09	0.164094619095544	0.0825239512692254	0	0.577174684800727	0	0.0652571628681537	0.0594055839827756	0	0.0515439979835745
TCGA-E9-A226-01A-21D-A159-09	0	0.179209313553884	0	0.447862084214699	0.372928602231418	0	0	0	0
TCGA-AN-A0FF-01A-11W-A050-09	0.0523969658662601	0	0	0.94760303413374	0	0	0	0	0
TCGA-LL-A740-01A-21D-A32I-09	0.0484041421114602	0.0604016975988652	0	0.733045796340223	0	0.0576869350904221	0.10046142885903	0	0
TCGA-AC-A3W5-01A-11D-A228-09	0	0.125126147448674	0.572804796031562	0	0.213158273088673	0.0269505845783514	0.0619601988527392	0	0
TCGA-A8-A09M-01A-11W-A019-09	0	0	0.594243106508868	0.146374734818649	0	0.16972410674111	0.0180503062974486	0	0.0716077456339246
TCGA-A2-A04U-01A-11D-A10Y-09	0.136569729364046	0	0.771912245294875	0	0	0	0.026235844375642	0	0.0652821809654373
TCGA-E2-A576-01A-11D-A31U-09	0.168151913524112	0	0.200308530751656	0.182737556490036	0.0266431746299825	0.108703647917942	0.133466622678396	0	0.179988554007876
TCGA-EW-A1OZ-01A-11D-A142-09	0.0976069140064709	0.0886747621650102	0.0592660547761582	0.480057467297288	0.0599069136514545	0.0663669589802892	0.0310583440614284	0	0.117062585061901
TCGA-OL-A6VR-01A-32D-A33E-09	0.213703238328808	0	0	0.151340596353586	0	0.448710613080981	0.186245552236625	0	0
TCGA-AO-A1KO-01A-31D-A188-09	0	0	0	0.206622997538414	0	0.400469373809435	0.392907628652151	0	0
TCGA-A8-A07B-01A-11W-A019-09	0	0.147029685832613	0	0.570283217752298	0.204201840082767	0.078485256332322	0	0	0
TCGA-AO-A1KT-01A-11D-A13L-09	0.141037133275819	0.073241781075135	0.405797413002099	0.261422419240921	0	0.0781568294133261	0	0	0.0403444239926997
TCGA-GM-A2DH-01A-11D-A17W-09	0	0.166129390319315	0.366918722921942	0	0.3631138838913	0.0731636629788183	0.0306743398886248	0	0
TCGA-UL-AAZ6-01A-11D-A41F-09	0.0215361587522144	0	0.174432674958793	0.459057933229637	0.0510664890292058	0.140702757723459	0.115082423251031	0.0381215630556603	0
TCGA-A7-A5ZW-01A-12D-A29N-09	0.09022222699385	0	0	0.440289394225681	0.214807254220637	0.108542611857573	0.146138512702258	0	0
TCGA-A7-A26F-01A-21D-A167-09	0	0.07562457872814	0.44215335908094	0	0	0.292657849896747	0.14747331132118	0	0.0420909009729925
TCGA-EW-A1J6-01A-11D-A188-09	0.0691257419778675	0	0.0296485147644051	0.641803406287789	0	0.176406466019197	0.0830158709507405	0	0
TCGA-E9-A248-01A-11D-A167-09	0.241698096595605	0.207515395113631	0.42337435573551	0.0574104431751028	0	0.0700017093801509	0	0	0
TCGA-E9-A1R6-01A-11D-A14G-09	0.159232090863697	0	0.072629804377936	0.406553169931627	0	0.321796989464906	0.0397879453618343	0	0
TCGA-AN-A0AJ-01A-11W-A019-09	0.0691852077033136	0.0435747755290304	0	0.600701369636808	0.183528933626703	0.103009713504146	0	0	0
TCGA-A8-A09C-01A-11W-A019-09	0	0	0	0.859928157193624	0	0	0	0	0.140071842806376
TCGA-A7-A13D-01A-13D-A272-09	0	0.0176379721974294	0.559761756910341	0.19110189278633	0.12337977002074	0	0.0828601501863356	0	0.0252584578988238
TCGA-AN-A0AR-01A-11W-A019-09	0.0255627765715386	0.0166948430827023	0.580802424735797	0.161788486350495	0.091213706076283	0.055515803859729	0	0	0.0684219593234557
TCGA-AR-A1AQ-01A-11D-A12Q-09	0.0697674925087448	0.0233795739418131	0.180718335700027	0.577272021282924	0	0	0.148862576566491	0	0
TCGA-BH-A0C7-01B-11D-A10Y-09	0.100890539643341	0	0	0.767344140041124	0	0.0730548681929603	0	0.0587104521225746	0
