gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	CancerHR-proficient	CancerHRD	DC	EC	Fibroblast	Mast	Myeloid	T_cell
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.005	0.154	0.073	0.03	0.124	0.175	0.028	0.082	0.008
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.005	0.154	0.073	0.03	0.124	0.175	0.028	0.082	0.008
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.0	0.011	0.007	0.015	0.019	0.016	0.0	0.029	0.001
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.0	0.011	0.007	0.015	0.019	0.016	0.0	0.029	0.001
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.0	0.011	0.007	0.015	0.019	0.016	0.0	0.029	0.001
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.033	0.038	0.025	0.12	0.082	0.037	0.02	0.18	0.033
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.033	0.038	0.025	0.12	0.082	0.037	0.02	0.18	0.033
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.033	0.038	0.025	0.12	0.082	0.037	0.02	0.18	0.033
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.037	0.055	0.026	0.108	0.019	0.006	1.618	0.228	0.01
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.051	0.006	0.005	0.037	0.0	0.003	0.338	0.06	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.015	0.031	0.033	0.037	0.05	0.197	0.05	0.052	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.015	0.031	0.033	0.037	0.05	0.197	0.05	0.052	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.015	0.031	0.033	0.037	0.05	0.197	0.05	0.052	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.015	0.031	0.033	0.037	0.05	0.197	0.05	0.052	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	MIS_receptor_3	CPI-CS0B5D1E156	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.015	0.031	0.033	0.037	0.05	0.197	0.05	0.052	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.015	0.031	0.033	0.037	0.05	0.197	0.05	0.052	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.015	0.031	0.033	0.037	0.05	0.197	0.05	0.052	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.015	0.031	0.033	0.037	0.05	0.197	0.05	0.052	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.019	0.06	0.039	0.009	0.005	0.19	0.05	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.019	0.06	0.039	0.009	0.005	0.19	0.05	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.019	0.06	0.039	0.009	0.005	0.19	0.05	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.019	0.06	0.039	0.009	0.005	0.19	0.05	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.019	0.06	0.039	0.009	0.005	0.19	0.05	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.019	0.06	0.039	0.009	0.005	0.19	0.05	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.019	0.06	0.039	0.009	0.005	0.19	0.05	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.019	0.06	0.039	0.009	0.005	0.19	0.05	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0700FDD27	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.008	0.014	0.013	0.037	0.039	0.117	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC041F23977	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC05E2C9AF8	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC0E6C03753	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS03F19BFCB	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0D97B02B1	0.006	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.009
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0680A24B2	0.006	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.009
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0492F9C60	0.006	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.009
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CS096F1E209	0.006	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.009
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.008	0.014	0.013	0.009	0.005	0.117	0.0	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
